Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,p-o-1-z-6,p-o-1-z-7,b-o-1-z-8,b-o-2-e-1,b-o-2-e-2,b-o-2-e-3,p-o-2-e-4,p-o-2-z-5,p-o-2-z-6,b-o-2-z-7,b-o-2-z-8,b-o-3-z-1,b-o-3-e-2,p-o-3-e-3,p-o-3-p-4,p-o-3-e-5,b-f-3-z-6,p-f-3-z-7,p-o-3-e-8,b-o-3-z-9,p-o-4-z-1,p-o-4-e-2,p-o-4-e-3,p-f-4-e-4,p-f-4-e-5,p-o-4-p-6,p-o-4-p-7,b-f-4-z-8,b-f-4-z-9,p-o-5-e-1,p-o-5-e-2,p-o-5-z-3,p-o-5-e-4,p-f-5-z-5,b-f-5-z-6,b-f-5-z-7,b-f-5-z-8,p-o-6-e-1,p-o-6-e-2,p-f-6-e-3,p-f-6-z-4,p-o-6-z-5,p-o-6-p-6,p-o-6-p-7,b-f-6-z-8,b-f-6-z-9,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-z-4,p-f-7-z-5,p-f-7-z-6,p-f-7-z-7,p-o-8-z-1,b-f-8-z-2,p-o-8-e-3,p-f-8-e-4,p-o-8-p-5
ac21x-33,96,94,90,85,90,100,89,85,95,90,95,93,100,100,100,90,60,90,100,95,90,100,70,100,90,62,90,100,60,96,95,90,90,100,85,100,100,99,80,90,90,100,85,85,81,100,100,90,90,100,100,100,67,90,90,92,87,100,81,70,60,60,80
ac21x-34,95,79,90,65,88,100,92,75,80,60,66,68,60,85,67,90,65,90,80,85,81,100,60,92,75,79,77,75,60,91,80,70,75,80,75,100,95,99,75,60,64,85,62,75,75,90,75,85,85,63,90,75,61,87,75,85,88,100,90,76,85,93,98
ac21x-35,90,65,60,60,67,70,60,80,72,60,60,70,70,60,93,90,60,60,70,65,60,77,60,92,60,90,80,75,60,75,60,60,85,90,65,60,70,60,60,60,75,75,60,60,60,60,60,60,70,70,60,70,60,60,60,65,65,60,60,70,70,62,60
ac21x-36,90,75,90,60,63,65,73,60,75,60,60,65,75,75,62,60,60,80,80,80,60,60,60,92,65,60,65,65,60,86,80,60,75,85,60,80,85,60,61,60,60,60,60,60,60,75,65,60,70,75,90,65,65,60,60,60,65,71,86,62,70,60,90
ac21x-37,80,83,82,60,76,85,70,90,88,60,60,83,90,95,100,100,65,90,60,60,77,95,60,91,100,60,60,70,60,76,60,60,75,100,60,60,70,60,60,72,75,100,60,70,60,60,60,65,75,75,90,70,60,65,60,65,60,65,60,64,70,62,80
ac21x-39,100,96,82,75,79,72,79,80,85,60,60,89,75,98,70,90,65,70,60,90,65,75,70,93,90,60,60,60,60,65,60,60,60,60,60,65,65,60,60,65,60,60,60,60,60,60,60,65,70,75,60,65,60,75,65,60,70,65,65,74,70,60,95
ac21x-40,100,99,89,75,87,98,90,90,100,75,75,95,95,100,100,90,65,90,80,100,93,95,80,95,75,90,93,100,90,100,90,90,60,90,86,95,95,75,78,85,100,75,85,95,80,100,100,90,75,95,90,100,93,92,100,100,95,100,95,74,97,90,100
ac21x-41,85,93,100,60,93,77,60,95,80,60,70,64,60,75,98,90,60,75,75,75,65,60,60,69,90,86,70,60,64,70,60,70,60,60,60,60,60,60,65,65,80,75,65,65,60,60,60,70,75,75,90,60,70,65,60,65,70,65,90,90,90,90,75
ac21x-42,80,90,85,65,78,65,90,80,75,60,80,60,75,65,75,75,60,60,60,90,70,60,60,67,60,69,72,60,78,76,60,70,60,70,62,95,98,60,60,80,67,60,67,65,60,95,60,60,75,75,90,65,60,60,60,70,60,60,67,67,67,67,67
ac21x-43,85,89,83,60,82,92,76,90,84,60,60,78,65,65,75,90,60,75,60,60,60,65,70,97,60,65,60,60,60,77,60,60,100,90,60,60,60,60,65,65,70,60,60,70,60,60,60,65,60,75,60,70,60,60,60,65,60,65,65,62,60,65,75
ac21x-44,100,96,87,70,82,100,88,90,99,60,71,90,90,100,100,100,65,75,87,90,81,95,70,97,100,90,91,75,75,92,100,90,90,90,90,100,100,60,79,95,100,90,95,95,80,100,100,90,100,96,90,100,84,100,90,100,95,100,90,82,95,91,100
ac21x-45,100,98,90,70,86,96,83,85,98,70,90,92,95,98,100,90,65,90,90,100,96,100,70,97,90,65,60,60,65,60,60,90,60,90,60,60,60,60,65,65,70,75,60,65,62,60,60,63,70,75,90,95,74,95,90,90,90,90,90,90,95,90,95
ac21x-47,75,60,100,65,60,60,75,75,60,60,80,60,80,70,100,62,80,60,70,60,60,70,90,62,90,60,60,70,65,60,60,70,60,75,60,60,65,60,60,75,60,75,60,70,60,65,60,65,70,60,75,75,60,60,62,75,60,60,70,60,70,60,75
ac21x-48,100,92,82,60,81,88,89,90,91,60,60,94,70,98,75,90,60,60,75,100,97,95,70,97,75,84,72,70,82,86,100,95,70,75,71,75,100,60,70,63,60,85,60,90,65,75,100,90,75,60,90,75,75,60,65,75,60,60,65,68,70,60,60
ac21x-49,75,96,87,60,84,90,71,85,60,60,60,60,70,65,75,90,60,90,60,60,60,70,60,98,60,70,60,65,65,65,60,60,70,60,60,60,60,60,65,70,65,70,60,70,60,60,60,60,70,70,60,60,60,60,60,60,65,60,60,72,70,60,85
ac21x-50,60,80,81,83,90,75,86,94,90,81,67,60,80,80,92,94,79,60,60,85,60,76,75,100,94,66,81,75,75,75,82,70,60,94,60,70,60,60,65,65,70,75,60,65,60,60,60,65,70,60,90,95,63,95,90,90,90,90,90,90,95,90,80
ac21x-51,100,99,95,80,98,100,88,90,100,75,80,93,95,100,100,90,65,90,95,100,92,100,70,95,90,95,95,80,80,100,98,90,90,90,96,95,100,60,82,95,100,90,97,100,80,100,100,90,100,100,90,100,94,100,100,100,95,100,95,86,97,91,100
ac21x-52,100,95,93,80,85,95,88,90,93,60,60,89,90,85,100,90,70,90,77,60,88,97,80,97,75,60,75,60,60,87,60,60,90,90,60,65,95,60,60,90,93,90,60,70,60,70,60,65,70,81,90,70,60,60,60,70,65,60,65,64,70,60,90
ac21x-53,85,88,76,80,92,87,86,90,93,60,60,88,95,80,75,90,70,75,60,60,65,97,60,95,60,70,65,60,70,65,65,60,70,60,60,60,65,60,60,60,75,60,60,60,60,70,65,65,60,60,60,65,60,75,65,60,70,65,65,62,70,60,95
ac21x-54,83,78,95,70,82,70,65,85,76,64,80,65,75,65,75,85,60,80,79,90,62,80,70,93,90,87,86,75,75,85,90,90,65,60,70,95,100,60,75,90,70,90,90,95,90,100,100,85,95,60,90,90,78,93,90,100,93,100,86,82,90,93,90
ac21x-55,90,60,60,60,70,60,60,60,65,60,60,60,75,75,60,60,60,70,65,65,60,60,60,60,60,65,60,60,65,60,60,65,60,75,60,60,65,60,60,60,65,70,60,60,60,60,60,65,70,75,60,70,60,60,65,75,65,60,60,68,70,60,80
ac21x-56,100,89,80,60,93,100,83,90,90,60,60,76,60,100,75,90,60,90,78,90,77,82,70,95,90,90,84,75,67,90,93,90,80,90,81,100,100,60,76,95,100,100,90,100,90,100,100,90,85,95,90,100,81,100,100,100,95,100,90,82,90,90,100
ac21x-57,100,98,86,75,85,94,95,90,95,60,60,82,95,97,100,90,65,90,82,90,60,100,80,95,90,60,63,60,60,60,60,75,100,90,60,60,95,60,65,85,70,100,60,60,60,60,60,65,70,60,60,70,60,75,60,60,65,60,65,64,70,60,95
ac21x-58,100,98,90,60,95,95,95,88.5,100,65,95,96,100,100,100,100,85,90,94,100,93,100,100,100,100,87,91,85,85,97,100,100,80,100,87,100,100,80,80,85,65,100,65,65,75,85,100,87,85,71,100,70,74,65,60,77,60,75,65,72,60,60,80
ac21x-59,95,98,93,60,95,90,89,90,97,80,85,97,95,90,95,90,85,90,90,100,96,100,100,100,95,93,88,100,90,100,100,100,100,90,96,100,100,87,99,100,100,100,100,70,85,90,100,85,90,78,60,91,92,86,90,95,90,100,87,78,85,83,75
ac21x-60,92,86,85,65,85,90,87,85,95,60,62,90,100,98,94,90,60,90,87,100,82,85,100,93,90,88,88,80,60,95,100,100,75,90,93,100,100,78,80,85,100,100,75,70,76,90,75,60,100,70,90,90,80,70,70,86,65,88,78,74,85,83,98
ac21x-61,65,65,60,77,77,70,65,81,77,77,65,60,75,65,73,81,60,85,60,60,60,80,70,74,81,65,60,65,65,65,60,60,75,70,60,60,65,60,60,60,75,70,60,70,60,60,60,65,70,60,70,70,60,65,60,75,65,60,60,72,70,70,98
ac21x-62,62,65,62,60,82,65,60,96,82,60,87,60,60,60,60,96,60,70,60,60,60,60,60,72,96,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,100,60,60,60,60,60,60,60,60,60,60,60,75
ac21x-63,100,91,97,70,95,100,90,90,100,90,80,97,97,100,96,90,90,100,100,100,100,95,100,97,95,95,99,85,75,100,100,100,100,90,96,100,100,75,96,100,100,100,100,95,90,100,80,100,100,100,90,100,90,96,85,97,97,75,90,66,100,91,98
ac21x-64,100,92,85,70,90,95,87,100,100,65,86,87,100,98,100,100,60,100,95,95,83,95,100,97,95,88,94,85,85,97,100,100,90,90,86,100,100,76,80,95,75,90,75,85,71,100,100,90,90,75,90,90,83,62,75,80,69,88,81,70,85,65,100
ac21x-65,92,87,75,65,90,80,86,75,100,60,75,82,95,94,95,90,60,90,76,85,77,90,60,90,90,93,87,90,78,100,100,100,100,90,85,100,100,74,75,97,92,100,85,90,80,100,100,90,95,100,90,95,81,80,90,97,92,100,93,72,90,90,94
ac21x-66,100,94,96,65,92,100,85,90,100,80,80,94,97,99,97,100,80,100,100,100,100,100,100,95,100,88,86,95,60,90,85,75,100,90,92,90,100,60,98,100,100,100,96,75,85,100,75,100,95,100,90,90,72,82,90,93,90,74,94,70,90,91,96
ac21x-67,67,92,80,80,60,70,60,85,60,85,60,60,60,60,95,90,60,60,60,60,60,60,60,60,60,65,60,70,60,60,60,60,60,60,60,65,70,60,60,60,60,60,60,75,60,75,60,70,60,70,90,75,60,60,60,75,70,60,65,68,70,60,75
ac21x-68,95,93,85,65,90,92,87,75,80,60,71,93,90,79,86,90,60,60,75,85,72,90,60,93,90,60,72,60,60,62,75,70,75,90,60,75,60,60,60,60,60,100,60,60,65,60,60,60,75,75,100,65,60,65,60,65,70,65,65,72,70,62,75
ac21x-69,72,90,60,60,75,75,60,60,70,60,62,67,60,63,62,90,60,60,80,60,60,100,60,68,60,70,65,60,70,60,65,60,60,60,60,60,65,60,65,60,65,70,60,70,60,60,65,65,75,60,60,70,60,60,60,75,60,65,70,62,70,62,80
ac21x-70,100,88,80,70,80,95,73,90,100,65,70,83,95,100,95,90,60,90,75,80,75,90,100,97,85,81,85,65,60,75,65,70,60,90,86,85,70,60,60,85,100,65,75,75,65,100,100,77,75,100,90,90,90,67,85,65,86,82,89,62,85,65,90
ac21x-71,75,65,65,60,75,75,75,90,75,60,60,60,70,65,60,90,60,75,60,60,60,90,60,60,90,60,60,60,65,65,60,60,60,90,60,60,65,60,60,60,60,70,60,60,84,70,90,75,70,60,60,70,60,60,60,70,65,60,70,64,70,63,75
ac21x-72,80,94,92,60,80,90,81,75,90,65,60,67,70,70,81,90,60,60,60,60,60,93,60,95,90,80,84,75,70,93,60,60,80,90,82,90,90,70,80,75,90,100,60,80,71,70,100,60,95,75,90,60,60,65,60,65,60,60,65,74,70,62,60
ac21x-73,75,75,60,60,75,60,60,75,75,60,75,60,65,75,75,75,60,60,60,60,60,65,60,80,90,60,60,60,60,60,60,60,60,90,60,65,60,60,60,60,60,75,60,65,60,90,60,60,60,60,60,65,60,62,60,65,60,60,82,70,70,60,90
ac21x-74,67,65,60,60,60,70,60,75,80,60,60,60,70,65,80,90,60,60,60,60,60,75,60,91,90,60,60,60,65,65,60,60,70,75,60,60,70,60,60,65,75,90,60,70,60,60,60,60,75,70,60,63,60,65,60,65,65,60,60,70,70,62,95
ac21x-75,77,86,75,65,80,90,73,90,65,60,60,60,65,65,64,90,60,60,60,60,60,60,60,60,60,65,60,60,65,60,60,60,70,60,60,80,65,60,60,60,60,75,60,70,60,70,75,80,75,60,60,63,60,66,60,65,60,65,70,72,70,62,60
ac21x-76,100,91,89,65,90,90,73,73,100,60,80,93,95,100,92,90,60,60,90,85,68,77,60,95,65,60,74,60,60,77,75,70,75,90,60,60,60,60,60,60,60,75,60,60,60,60,60,65,75,65,90,65,60,66,60,65,70,65,65,68,70,65,75
