Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,b-o-1-z-6,b-o-1-z-7,p-o-1-z-8,b-o-1-z-9,b-o-2-e-1,b-o-2-e-2,p-o-2-e-3,p-o-2-e-4,b-o-2-z-5,b-o-2-z-6,p-o-2-z-7,b-o-2-z-8,b-o-2-z-9,b-o-3-e-1,p-o-3-e-2,p-o-3-e-3,p-o-3-e-4,p-o-3-p-5,p-o-3-z-6,b-o-3-z-7,b-f-3-z-8,b-f-3-z-9,b-o-3-z-10,b-o-3-z-11,b-o-4-e-1,b-o-4-e-2,p-o-4-e-3,p-o-4-e-4,b-f-4-z-5,p-o-4-z-6,b-f-4-z-7,p-f-4-z-8,p-f-4-z-9,b-o-4-z-10,p-o-5-e-1,p-o-5-e-2,p-o-5-e-3,p-o-5-e-4,p-o-5-p-5,p-f-5-z-6,p-f-5-z-7,p-f-5-z-8,b-o-5-z-9,p-o-6-e-1,p-o-6-e-2,p-o-6-e-3,p-o-6-p-4,b-o-6-z-5,p-f-6-z-6,p-f-6-z-7,b-o-6-z-8,p-o-6-e-1.1,p-o-6-e-2.1,p-o-6-e-3.1,p-o-6-e-4,p-o-6-z-5,p-f-6-z-6.1,p-f-6-z-7.1,b-o-8-e-1,p-o-8-z-2,p-o-8-e-3,p-f-8-e-4,p-o-8-p-5,p-o-8-p-6
ac18x-29,100,91,100,80,80,80,100,90,70,75,80,90,75,100,100,92,90,100,75,90,95,93,60,80,85,80,80,75,80.0,95,90,75,85,95,90,65,80,90,85,60,60,76,60,60,60,60,73,60.0,60,75,75,75,100,75,61,60.0,75,60,79,75,60,75,70,82,75,80,75,65,100
ac18x-30,95,90,75,75,90,70,100,100,100,60,60,75,60,90,100,75,60,100,65,92,75,90,60,60,95,60,60,60,100.0,60,60,60,60,60,85,65,60,65,85,60,71,90,60,60,60,60,60,60.0,60,75,65,80,70,70,60,60.0,60,60,60,75,60,60,60,60,60,65,60,70,80
ac18x-31,80,70,85,80,75,65,85,60,90,100,80,60,70,88,70,70,70,80,60,65,60,60,60,60,70,60,60,90,60.0,60,60,60,60,60,60,65,60,60,85,60,60,60,60,60,60,60,60,60.0,60,60,60,60,75,75,60,60.0,60,60,60,75,60,60,60,60,60,80,60,60,70
ac18x-33,82,87,96,90,92,83,90,90,90.0,90,78,90,86,92,91,90,90,90.0,90,90,80,70,90,75,92,83,92,75,60.0,90,90,97,88,100,95,90,90,90,60,90,93,91,90,90,95,90,87,90.0,69,90,75,90,95,90,79,90.0,75,60,85,75,60,90,60,86,100,80,75,100,85
ac18x-34,85,90,80,75,80,60,65,75,75.0,75,60,90,80,90,95,70,85,100,70,95,90,94,80,90,75,96,80,75,75.0,65,92,70,84,100,95,80,90,90,75,60,60,80,60,65,60,65,60,60.0,60,75,65,90,95,70,61,90.0,65,60,60,75,60,65,60,82,75,75,60,60,75
ac18x-35,86,90,80,75,90,60,70,60,70,60,80,90,70,100,100,76,70,100,70,95,90,94,80,90,75,96,80,75,75.0,95,87,70,80,100,90,70,80,80,85,87,84,96,85,95,100,75,87,70.0,62,85,99,90,100,75,90,85.0,100,96,83,82,75,90,85,92,100,90,96,90,100
ac18x-36,67,60,70,60,75,60,80,60,80,60,80,80,65,71,95,71,100,100,70,80,90,80,90,70,75,80,60,60,100.0,75,60,76,70,70,95,70,70,85,95,60,60,93,66,95,95,65,70,60.0,60,60,81,85,75,70,65,90.0,80,60,60,70,70,75,60,80,75,75,60,90,80
ac18x-37,85,90,90,95,90,95,90,91,85.0,95,90,90,81,90,93,90,94,85.0,70,93,75,80,80,80,68,85,95,65,87.0,70,90,91,90,90,100,90,93,90,90,91,60,92,66,90,93,60,70,60.0,60,60,79,90,70,70,60,70.0,75,60,85,75,60,75,60,81,80,80,70,100,90
ac18x-38,80,80,90,80,90,80,90,80,80.0,80,90,90,80,90,90,80,90,80.0,70,75,85,90,90,90,80,65,83,80,60.0,65,90,75,80,90,95,75,85,80,80,75,79,85,85,90,99,76,91,70.0,61,65,77,90,85,75,77,60.0,75,77,85,75,65,75,60,75,75,75,75,90,90
ac18x-39,93,96,100,98,93,98,90,93,91.0,98,90,95,93,93,94,90,90,91.0,90,96,94,90,100,90,97,91,97,95,98.0,90,90,91,96,100,90,93,95,95,95,90,92,92,90,100,99,95,82,80.0,84,90,75,90,100,90,81,90.0,75,60,90,75,65,91,60,90,85,75,90,100,70
ac18x-40,75,65,70,60,92,75,90,75,80,60,70,80,65,100,100,60,100,100,70,80,70,77,90,75,90,85,65,60,98.0,75,70,78,75,70,95,70,90,90,98,75,86,92,95,90,95,76,70,60.0,63,70,90,90,100,70,76,80.0,75,70,60,70,75,75,65,80,80,75,60,90,80
ac18x-41,60,60,70,60,78,65,65,60,65,60,70,60,60,80,75,60,80,80,60,72,60,60,70,60,60,60,60,70,80.0,60,60,60,60,64,60,70,60,60,80,60,60,60,60,60,60,65,60,70.0,60,60,60,60,60,60,65,80.0,60,60,60,60,60,60,60,75,88,65,60,60,60
