Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,p-o-1-z-6,b-o-1-z-7,p-o-1-z-8,b-o-2-e-1,b-o-2-e-2,b-o-2-e-3,p-o-2-e-4,p-o-2-p-5,p-o-2-z-6,p-o-2-z-7,p-o-2-z-8,b-o-2-z-9,b-o-3-e-1,p-o-3-e-2,p-o-3-e-3,p-f-3-e-4,b-o-3-z-5,b-f-3-z-6,p-o-3-z-7,b-o-3-z-8,b-o-4-e-1,p-o-4-e-2,p-o-4-e-3,p-f-4-e-4,p-f-4-e-5,p-o-4-p-6,p-o-4-p-7,b-o-4-z-8,b-f-4-z-9,p-f-5-e-1,p-o-5-e-2,p-o-5-e-3,p-o-5-z-4,b-f-5-z-5,p-f-5-z-6,b-f-5-z-7,b-o-5-z-8,p-o-6-e-1,p-o-6-e-2,p-f-6-e-3,p-o-6-p-4,p-f-6-z-5,b-o-6-z-6,b-f-6-z-7,p-o-6-p-8,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-z-4,p-f-7-z-5,p-f-7-z-6,p-f-7-z-8,p-o-8-e-1,b-o-8-e-2,p-o-8-e-3,p-f-8-z-4,p-f-8-z-5
ac20x-23,90,98,100,75,65.0,80,90,77,75.0,60,70.0,92,90.0,72,63,79,75,65.0,60,65.0,60.0,70,75,60,80,60.0,60,68,76,75,60,60,85,70.0,60,60.0,60.0,60.0,75,95,70.0,90.0,60.0,60.0,60.0,60.0,60.0,90.0,60.0,75.0,64.0,60.0,61.0,79.0,65.0,65.0,60.0,62.0,70.0,76.0,62.0,80.0
ac20x-24,90,100,100,100,90.0,93,68,100,95.0,75,80.0,86,95.0,91,83,82,72,95.0,95,96.0,75.0,60,83,100,90,100.0,99,100,100,100,100,100,90,100.0,100,100.0,100.0,100.0,100,100,100.0,100.0,75.0,90.0,90.0,90.0,100.0,100.0,95.0,100.0,95.0,91.0,76.0,60.0,86.0,95.0,100.0,93.0,100.0,100.0,97.0,85.0
ac20x-25,82,82,94,86,88.0,75,90,90,88.0,86,80.0,92,95.0,93,83,85,90,85.0,60,60.0,60.0,98,60,60,90,86.0,86,90,75,60,90,60,90,60.0,85,88.0,100.0,97.0,95,100,90.0,90.0,80.0,80.0,97.0,90.0,100.0,90.0,100.0,100.0,100.0,96.0,84.0,100.0,93.0,98.0,100.0,91.0,100.0,100.0,95.0,100.0
ac20x-26,75,88,100,76,70.0,60,70,94,75.0,60,60.0,60,60.0,75,60,60,75,70.0,60,60.0,60.0,60,60,70,60,60.0,60,60,60,60,60,60,60,75.0,60,60.0,60.0,60.0,75,60,60.0,60.0,60.0,65.0,60.0,65.0,60.0,90.0,70.0,70.0,75.0,60.0,60.0,60.0,75.0,70.0,60.0,65.0,70.0,90.0,66.0,70.0
ac20x-27,95,100,100,90,90.0,96,95,100,97.0,85,80.0,85,99.0,91,80,80,90,100.0,88,93.0,80.0,80,95,90,90,75.0,96,96,95,90,92,100,90,90.0,95,100.0,100.0,100.0,90,100,100.0,100.0,85.0,80.0,90.0,85.0,100.0,90.0,95.0,100.0,85.0,96.0,71.0,76.0,90.0,80.0,83.0,92.0,60.0,100.0,92.0,90.0
ac20x-28,90,100,90,75,80.0,91,90,95,90.0,60,80.0,82,99.0,81,80,76,90,90.0,75,60.0,70.0,60,75,60,90,70.0,70,60,60,60,60,60,90,70.0,60,60.0,60.0,60.0,75,60,75.0,60.0,60.0,70.0,60.0,65.0,60.0,60.0,60.0,70.0,70.0,60.0,60.0,60.0,75.0,70.0,60.0,60.0,70.0,65.0,60.0,70.0
ac20x-29,90,74,95,60,65.0,60,60,62,60.0,60,70.0,60,70.0,60,60,60,90,60.0,75,65.0,60.0,60,60,75,60,60.0,60,60,60,65,60,60,60,60.0,60,60.0,60.0,60.0,75,60,60.0,60.0,60.0,65.0,60.0,65.0,60.0,60.0,60.0,70.0,70.0,60.0,60.0,65.0,75.0,70.0,60.0,70.0,70.0,66.0,60.0,70.0
ac20x-30,90,90,95,60,65.0,60,65,71,70.0,60,70.0,60,60.0,60,65,60,85,60.0,60,60.0,60.0,60,100,100,60,60.0,60,60,60,60,60,60,60,60.0,60,65.0,60.0,70.0,70,60,60.0,60.0,60.0,70.0,60.0,70.0,60.0,60.0,60.0,70.0,75.0,60.0,60.0,60.0,70.0,60.0,60.0,60.0,60.0,75.0,60.0,60.0
ac20x-31,90,93,95,60,80.0,82,зв,85,97.0,70,70.0,75,95.0,63,60,76,зв,95.0,75,75.0,70.0,60,100,60,зв,60.0,70,75,60,60,75,75,70,65.0,60,60.0,60.0,67.0,90,80,70.0,70.0,60.0,65.0,60.0,60.0,60.0,90.0,60.0,80.0,75.0,60.0,60.0,65.0,75.0,70.0,60.0,70.0,70.0,65.0,60.0,75.0
ac20x-32,95,93,90,80,80.0,92,90,98,75.0,70,80.0,85,95.0,73,60,78,90,75.0,60,60.0,70.0,60,75,60,70,60.0,60,60,60,60,60,60,70,75.0,60,60.0,60.0,60.0,75,60,60.0,60.0,60.0,70.0,60.0,65.0,60.0,60.0,60.0,70.0,66.0,60.0,60.0,75.0,65.0,70.0,60.0,63.0,70.0,65.0,60.0,63.0
