Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-z-4,b-o-1-z-5,p-o-1-z-6,b-o-2-e-1,b-o-2-e-2,p-o-2-e-3,p-o-2-e-4,b-o-2-z-5,p-o-2-z-6,p-o-2-z-7,b-o-3-e-1,p-o-3-e-2,p-o-3-e-3,p-o-3-e-4,p-o-3-p-5,p-o-3-z-6,b-f-3-z-7,b-f-3-z-8,b-o-3-z-9,b-o-4-e-1,p-o-4-e-2,p-o-4-e-3,b-o-4-e-4,p-o-4-z-5,b-f-4-z-6,b-f-4-z-7,p-f-4-z-8,p-f-4-z-9,p-o-5-e-1,p-o-5-e-2,p-o-5-e-3,p-o-5-e-4,p-o-5-p-5,p-f-5-z-6,p-f-5-z-7,p-f-5-z-8,p-o-6-e-1,p-o-6-e-2,p-o-6-e-3,p-o-6-p-4,b-o-6-z-5,p-f-6-z-6,p-f-6-z-7,b-o-6-z-8,p-o-6-p-9,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-e-4,p-f-7-e-5,p-o-7-e-6,p-f-7-e-7,b-o-8-e-1,p-o-8-z-2,p-o-8-e-3,p-f-8-e-3,p-o-8-p-5
ac19x-31,90,96,95,80,75,100,60,70,90,76,90,63,75,75,81,75,76,70,65,60,60,65,60,60,60,60,60,60,60,60,60,60,70,70,60,65,60,60,60,60,65,60,65,60,70,60,60,75,75,60,60,70,60,60,60,75.0,65,75,75,75
ac19x-32,80,90,80,80,80,60,90,80,60,70,80,80,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,70,60,60,60,60,60,60,60,65,60,60,60,60,60,60,60,70,60,60,75,60,60,60,60,60,60,60,60,60.0,60,60,60,60
ac19x-33,100,100,100,80,95,90,80,83,95,82,90,60,95,95,100,95,96,75,90,70,80,65,70,78,85,100,95,93,65,90,79,86,100,94,92,85,97,85,100,72,85,85,100,85,77,80,90,70,95,95,75,95,60,95,85,83.0,75,95,100,85
ac19x-34,90,97,100,70,85,80,75,60,75,73,75,75,60,92,97,95,79,90,70,75,66,65,70,72,74,90,85,78,90,67,74,93,82,98,91,80,97,77,90,81,96,81,83,80,87,92,90,100,64,100,90,90,90,95,90,75.0,90,90,73,100
ac19x-35,75,85,95,75,80,80,75,92,100,75,100,83,90,98,100,90,90,97,95,90,75,85,100,100,100,100,100,100,80,95,100,94,90,100,96,90,100,100,90,87,100,100,90,100,100,100,90,100,100,100,100,100,100,100,98,90.0,100,100,100,95
ac19x-36,82,80,60,75,70,70,60,60,75,81,60,74,60,82,91,60,75,68,60,80,60,65,65,66,78,90,85,78,65,70,82,75,84,95,80,70,96,75,93,60,60,60,60,60,60,60,60,85,60,60,91,65,82,65,60,70.0,85,75,71,90
ac19x-37,82,100,100,80,75,80,90,90,100,92,100,92,100,94,92,90,100,95,90,95,90,90,90,91,96,100,95,100,85,87,100,95,95,100,92,90,98,95,100,75,94,95,100,100,100,96,90,90,100,100,80,90,95,95,95,90.0,100,95,100,90
ac19x-38,100,91,100,85,90,100,90,85,100,62,90,91,100,100,86,100,85,75,100,95,90,80,90,92,90,100,95,90,95,95,100,90,100,100,90,90,100,90,100,75,60,61,100,100,95,75,90,100,65,100,70,100,60,100,100,90.0,100,90,75,100
ac19x-39,100,100,100,100,95,100,100,90,100,98,100,97,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,90,96,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,95,100,100,95.0,100,100,100,100
ac19x-40,94,77,91,87,94,90,90,90,90,80,100,90,90,100,97,91,90,100,97,100,92,91,90,90,98,95,95,98,90,90,100,90,100,95,95,90,100,98,91,87,100,95,90,100,100,98,90,100,100,100,95,100,100,100,90,95.0,100,100,100,95
ac19x-41,100,95,100,90,90,90,95,92,95,92,100,100,95,92,100,100,90,93,96,90,85,90,80,95,100,100,100,100,85,100,100,95,100,100,93,90,100,95,100,83,100,99,100,100,100,99,100,95,100,100,95,100,100,100,100,95.0,100,95,100,90
ac19x-42,100,95,100,85,80,100,60,86,95,98,90,94,100,91,100,95,99,90,80,90,85,75,76,98,97,95,90,95,80,80,98,77,70,90,75,60,85,77,75,80,96,97,90,95,91,95,90,90,75,60,95,80,60,60,80,90.0,90,70,83,90
